Lake_Year,Lake,Year,Item #,Identity,Group,Length,Sex,Weight,Well_ID,d13C,C ug,d15N,N ug,collectiondate,old_Lake_Year,Identity_old
Killarney_2019,Killarney,2019,UWT-KIL-FISH-8,Lepomis macrochirus,Fish,155,M,"NA","NA",-25.76762812634275,524.0578125294886,9.196919016520747,154.6365294057331,NA,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-FISH-9,Lepomis macrochirus,Fish,174,?,"NA","NA",-30.684359081741075,395.145228891648,9.037989408704592,119.0008474961891,43617,Killarney_2019,NA
Killarney_2019,Killarney,2020,UWT-KIL-INSECT-1,Chironomidae,Aquatic invertebrate,NA,NA,"NA","NA",-44.193079519878424,448.77774148462356,3.922004388294705,94.63972704661543,44034,Killarney_2020,NA
Killarney_2019,Killarney,2020,UWT-KIL-INSECT-2,Chironomidae,Aquatic invertebrate,NA,NA,"NA","NA",-42.24697890373964,527.286262793089,4.8560941478272355,106.52445427387858,44034,Killarney_2020,NA
Killarney_2019,Killarney,2020,UWT-KIL-INSECT-3,Chironomidae,Aquatic invertebrate,NA,NA,"NA","NA",-40.11620653380318,569.6449482335117,5.089616587710367,116.30902883899294,44068,Killarney_2020,NA
Killarney_2019,Killarney,2020,UWT-KIL-MACRO-1,Macrophyte,Aquatic plant,NA,NA,"NA","NA",-30.763231354295886,1000.659157722169,1.3435274479184502,83.446775473058,44074,Killarney_2020,NA
Killarney_2019,Killarney,2020,UWT-KIL-MACRO-2,Macrophyte,Aquatic plant,NA,NA,"NA","NA",-34.68114582271285,981.0930130351661,1.0321641947409401,87.15803513118516,44074,Killarney_2020,NA
Killarney_2019,Killarney,2020,UWT-KIL-MACRO-3,Macrophyte,Aquatic plant,NA,NA,"NA","NA",-32.651667048814765,811.6002513373318,2.8322330021734197,65.00682763969346,44074,Killarney_2020,NA
Killarney_2019,Killarney,2019,UWT-KIL-PERI-1,Periphyton,Algae,NA,NA,"NA","NA",-25.797653709132128,898.7017517631409,3.912274286632908,67.54391844443175,43662,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-PERI-2,Periphyton,Algae,NA,NA,"NA","NA",-22.45818604624969,847.5658963439611,3.0657554420565525,56.831539955247855,43662,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-PERI-3,Periphyton,Algae,NA,NA,"NA","NA",-25.46696070498736,849.4803944480036,4.622571707944102,72.29216360203093,43662,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-PHYTO-1,Phytoplankton,Phytoplankton,NA,NA,"NA","NA",-31.742200554167184,1015.1052845937676,3.299277881939685,172.3450945789631,43602,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-PHYTO-2,Phytoplankton,Phytoplankton,NA,NA,"NA","NA",-34.75053904928987,1124.4397285715402,4.408509471384565,254.70652146870628,43626,Killarney_2019,NA
Killarney_2019,Killarney,2018,UWT-KIL-PHYTO-3,Phytoplankton,Phytoplankton,NA,NA,"NA","NA",-38.921762798206174,978.2252251255679,7.648633324763028,126.62598532465954,43164,Killarney_2018,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-1,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-27.406691358288285,532.9997309458216,5.274488519284514,127.09354576963202,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-10,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-27.88000367563216,471.95393011388046,5.37345827497744,97.34130346435171,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-2,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-28.890973064330627,351.62801987299895,5.284218620946311,77.28741583647057,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-3,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-28.761376672439834,435.660220329998,4.359858963075578,84.60362759359644,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-4,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-29.887971166128626,485.7089479221097,5.215494833896417,96.59644609399169,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-5,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-28.578301811168163,385.88354394205044,4.720947500084825,60.251368027748526,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-6,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-28.66090325462311,443.3563897219394,5.297635659118041,77.12791350609756,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-7,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-29.888576409576242,438.4958355021349,5.4955742302011465,93.54828498787322,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-8,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-29.82457540000915,447.7030480433956,4.928432215038553,88.3626588379871,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-SNAIL-9,Bellayma chinesis,Gastropod,NA,NA,"NA","NA",-28.249249404574748,515.6913058066049,4.917109414851235,107.62387602161736,43617,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-ZOO-1,Zooplankton,Zooplankton,NA,NA,"NA","NA",-32.577777749878045,523.1407808044988,5.264758417622717,119.27449242064813,43602,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-ZOO-2,Zooplankton,Zooplankton,NA,NA,"NA","NA",-34.757393886658576,490.0114862834764,6.218308380478841,113.5028451522301,43626,Killarney_2019,NA
Killarney_2019,Killarney,2019,UWT-KIL-ZOO-3,Zooplankton,Zooplankton,NA,NA,"NA","NA",-35.344460242667665,530.700586800457,5.527471162491241,122.16827763691782,43662,Killarney_2019,NA
Cottage_2009,Cottage,2009,CTG1,Periphyton,Algae,NA,NA,2.0299999999999998,A1,-12.262324999902596,899.2967374533837,3.0143820551291083,58.965080325348204,NA,NA,Periphyton
Cottage_2009,Cottage,2009,CTG2,Periphyton,Algae,NA,NA,2.1040000000000001,A2,-15.67130900060202,897.0825480309509,6.96818418936658,50.55563753006566,NA,NA,Periphyton
Cottage_2009,Cottage,2009,CTG3,Periphyton,Algae,NA,NA,2.0070000000000001,A3,-18.554376308869063,766.8170240228303,8.181572889666088,49.70802135366675,NA,NA,Periphyton
Cottage_2009,Cottage,2009,CTG16,Chironomidae,Aquatic invertebrate,NA,NA,0.79400000000000004,B10,-26.98827072539955,361.0327299472482,7.981221534280092,85.75615293652143,NA,NA,Chironomidae
Cottage_2009,Cottage,2009,CTG14 A,Isopoda,Aquatic invertebrate,NA,NA,0.86599999999999999,B6,-28.80971306238652,313.53629146856656,5.5162435853167295,60.10243461918772,NA,NA,Isopoda
Cottage_2009,Cottage,2009,CTG14 B,Isopoda,Aquatic invertebrate,NA,NA,0.95899999999999996,B7,-28.612084358799738,325.999552158459,5.304274252011283,63.53521994277205,NA,NA,Isopoda
Cottage_2009,Cottage,2009,CTG17,Odonata,Aquatic invertebrate,NA,NA,0.92800000000000005,B11,-36.124079132422594,441.88431196798973,9.709813492900015,98.78591301248376,NA,NA,Odonata
Cottage_2009,Cottage,2009,CTG15 B,Trichoptera,Aquatic invertebrate,NA,NA,1.3480000000000001,B9,-27.378022100499937,657.236114580532,7.055481279177202,132.51504468202694,NA,NA,Trichoptera
Cottage_2009,Cottage,2009,CTG15 A,Trichoptera,Aquatic invertebrate,NA,NA,0.69699999999999995,B8,-27.73717670329938,330.52747382654724,6.607172838118998,85.18838116241551,NA,NA,Trichoptera
Cottage_2009,Cottage,2009,CTG4,Macrophyte 1,Aquatic plant,NA,NA,2.0640000000000001,A4,-20.51677054413859,827.9085446652368,7.3267538850285865,72.71124672675214,NA,NA,Macrophyte 1
Cottage_2009,Cottage,2009,CTG5,Macrophyte 2,Aquatic plant,NA,NA,2.6139999999999999,A5,-18.220285497280827,1114.2243317896857,6.62533686616702,57.12541106950427,NA,NA,Macrophyte 2
Cottage_2009,Cottage,2009,CTG6,Macrophyte 3,Aquatic plant,NA,NA,2.3660000000000001,A6,-20.364948269767545,940.0649999783071,9.466573848426052,50.27323359039473,NA,NA,Macrophyte 3
Cottage_2009,Cottage,2009,CTG7,Macrophyte 4,Aquatic plant,NA,NA,2.206,A7,-22.96460928173065,1024.8014557952067,9.650202271817912,92.43717577168698,NA,NA,Macrophyte 4
Cottage_2009,Cottage,2009,CTG8,Macrophyte 5,Aquatic plant,NA,NA,2.2650000000000001,A8,-12.262300837210462,930.182317223527,12.591467037125724,94.52549890052933,NA,NA,Macrophyte 5
Cottage_2009,Cottage,2009,CTG13 A,Bivalvia,Bivalve,NA,NA,0.97899999999999998,B4,-16.65813962427218,143.0576373529606,6.6182040920403296,9.727632630995556,NA,NA,Bivalvia
Cottage_2009,Cottage,2009,CTG13 B,Bivalvia,Bivalve,NA,NA,0.871,B5,-16.078125766807993,130.3495531398776,7.144260775004765,8.971443206606406,NA,NA,Bivalvia
Cottage_2009,Cottage,2009,CTG18,Pacifastacus leniusculus,Crayfish,55.8,M,0.97399999999999998,B12,-27.662273993961946,448.58939340280915,11.744934250670662,134.75020848447258,NA,NA,Pacifastacus leniusculus
Cottage_2009,Cottage,2009,CTG19,Pacifastacus leniusculus,Crayfish,40.1,M,1.024,C1,-30.0613604699395,463.09989046701213,12.08368959390689,143.67405747485006,NA,NA,Pacifastacus leniusculus
Cottage_2009,Cottage,2009,CTG22,Ameiurus nebulosus,Fish,225,NA,1.052,C4,-31.20611819720722,494.2734229055556,12.499189192227629,152.0157443657562,NA,NA,Ameiurus nebulosus
Cottage_2009,Cottage,2009,CTG23,Ameiurus nebulosus,Fish,236,NA,1.304,C5,-30.73455234024156,620.0683235500692,13.404196171119935,180.20069937447167,NA,NA,Ameiurus nebulosus
Cottage_2009,Cottage,2009,CTG24,Ameiurus nebulosus,Fish,214,NA,1.0389999999999999,C6,-31.274658125818558,495.38474633780845,12.262875571847644,147.56978577900213,NA,NA,Ameiurus nebulosus
Cottage_2009,Cottage,2009,CTG25,Ameiurus nebulosus,Fish,241,NA,1.073,C7,-28.82084180345238,503.1601154438914,13.73257391196461,150.34929768725803,NA,NA,Ameiurus nebulosus
Cottage_2009,Cottage,2009,CTG26,Ameiurus nebulosus,Fish,276,NA,0.873,C8,-30.53618869267019,407.16161491997406,13.15331790550618,125.23915552880217,NA,NA,Ameiurus nebulosus
Cottage_2009,Cottage,2009,CTG27,Ameiurus nebulosus,Fish,279,NA,1.2090000000000001,C9,-30.798084803722766,582.7397279782379,13.009189728810206,167.52365982827007,NA,NA,Ameiurus nebulosus
Cottage_2009,Cottage,2009,CTG20,Cottidae spp.,Fish,141,NA,0.95299999999999996,C2,-32.368712890646464,446.3549226749675,14.230384202070935,135.86716015246768,NA,NA,Cottidae
Cottage_2009,Cottage,2009,CTG21,Cottidae spp.,Fish,136,NA,0.90900000000000003,C3,-29.917181587738252,404.91685047581643,12.250984856345166,126.35967851842085,NA,NA,Cottidae
Cottage_2009,Cottage,2009,CTG42,Lepomis gibbosus,Fish,62,NA,0.84499999999999997,D12,-27.55572202668836,385.81388736013855,11.823045097437756,123.55758325283959,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG43,Lepomis gibbosus,Fish,60,NA,0.89600000000000002,E1,-27.121345298841685,411.6494745569948,12.30837688282109,129.1591478122201,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG44,Lepomis gibbosus,Fish,64,NA,0.90400000000000003,E2,-27.737744468543795,421.7390211402308,11.730541029262353,122.99684908310948,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG45,Lepomis gibbosus,Fish,89,NA,0.874,E3,-24.615940782799928,391.4365790518094,13.108836514710351,124.11821238369839,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG46,Lepomis gibbosus,Fish,107,NA,0.97899999999999998,E4,-26.23168818114952,437.4114755926194,11.848829641891877,139.77318226600525,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG47,Lepomis gibbosus,Fish,136,NA,0.95499999999999996,E5,-29.599654348362446,431.8173002772292,11.696184029508961,129.71872655436613,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG48,Lepomis gibbosus,Fish,159,NA,1.1990000000000001,E6,-29.018242201676216,497.60697588949057,13.20111775137657,154.7910547191609,NA,NA,Lepomis gibbosus
Cottage_2009,Cottage,2009,CTG49,Micropterus salmoides,Fish,53,NA,0.83399999999999996,E7,-25.44572323969733,362.1606067881714,14.313435948597869,116.82184065057389,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG50,Micropterus salmoides,Fish,67,NA,0.90200000000000002,E8,-27.067273628604546,395.93222852820446,13.846405749162447,126.91978245492326,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG51,Micropterus salmoides,Fish,69,NA,0.85699999999999998,E9,-27.26070138550173,377.93627661226856,14.90803040226128,122.4360098745081,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG52,Micropterus salmoides,Fish,73,NA,1.06,E10,-28.612359786431988,492.0503587282263,14.631502279711079,157.0094123022016,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG53,Micropterus salmoides,Fish,84,NA,1.167,E11,-26.33493264752471,544.1452641251398,15.31356947621648,171.3877714321666,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG54,Micropterus salmoides,Fish,77,NA,1.0289999999999999,E12,-26.93249128263292,472.01774236284484,15.441921142385963,150.9048849522954,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG55,Micropterus salmoides,Fish,83,NA,1.1299999999999999,F1,-26.29057462093465,509.81929246811256,15.064594461991009,163.65440131968072,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG57,Micropterus salmoides,Fish,111,NA,0.995,F3,-25.908766759538207,871.5520851923808,14.885307155111137,271.1129619741597,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG58,Micropterus salmoides,Fish,99,NA,0.879,F4,-26.244090841058362,390.31231892202436,14.961150948588072,126.91978245492326,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG59,Micropterus salmoides,Fish,103,NA,0.995,F5,-25.95351114891206,451.94005621251256,14.684116421282653,147.0135682807371,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG60,Micropterus salmoides,Fish,124,NA,1.0349999999999999,F6,-24.170299450385304,477.5868789088178,12.961837266853447,152.57101651417972,NA,NA,Micropterus salmoides
Cottage_2009,Cottage,2009,CTG28,Perca flavescens,Fish,77,NA,0.87,C10,-26.0489566286691,394.80852481551744,11.65603256216737,120.7528620154763,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG29,Perca flavescens,Fish,80,NA,0.83699999999999997,C11,-24.080909231202433,382.4386030938415,14.467624523458595,118.5071943259026,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG30,Perca flavescens,Fish,82,NA,1.022,C12,-27.10190336619602,418.37709088428966,10.91668710300808,129.71872655436613,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG31,Perca flavescens,Fish,87,NA,0.95599999999999996,D1,-26.228538624931602,427.3394561479753,14.5885178719658,128.5994640312028,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG32,Perca flavescens,Fish,159,NA,0.88500000000000001,D2,-30.587808113686304,408.2837884856411,13.159126172673416,128.03967521131423,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG33,Perca flavescens,Fish,202,NA,1.018,D3,-33.284933401110926,467.5599292491248,13.37232159849498,149.23780804056952,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG34,Perca flavescens,Fish,202,NA,1.0649999999999999,D4,-30.511122718047677,480.9266915851071,13.90111583192494,149.79360538334944,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG35,Perca flavescens,Fish,223,NA,1.1080000000000001,D5,-33.24241482709941,439.64817198885356,13.81110710768216,141.44561616016645,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG36,Perca flavescens,Fish,238,NA,1.22,D6,-33.86330799662502,578.3375565743339,13.201541813635457,181.85012975582237,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG37,Perca flavescens,Fish,247,NA,1.1499999999999999,D7,-33.92914231783057,480.9266915851071,13.420763294364095,151.46036717846147,NA,NA,Perca flavescens
Cottage_2009,Cottage,2009,CTG38,Pomoxis nigromaculatus,Fish,77,NA,0.95299999999999996,D8,-26.900022038955765,441.88431196798973,14.73097881714208,136.4254784281583,NA,NA,Pomoxis nigromaculatus
Cottage_2009,Cottage,2009,CTG39,Pomoxis nigromaculatus,Fish,82,NA,1.0369999999999999,D9,-26.79288936129765,483.15253784792725,14.686239783492804,150.9048849522954,NA,NA,Pomoxis nigromaculatus
Cottage_2009,Cottage,2009,CTG40,Pomoxis nigromaculatus,Fish,82,NA,0.95699999999999996,D10,-28.253214234601725,443.002173301146,14.288813347064774,138.09980302200256,NA,NA,Pomoxis nigromaculatus
Cottage_2009,Cottage,2009,CTG41,Pomoxis nigromaculatus,Fish,90,NA,0.97099999999999997,D11,-28.547523608892778,453.05666560719794,15.290719616109621,142.00288404714425,NA,NA,Pomoxis nigromaculatus
Cottage_2009,Cottage,2009,CTG10 A,Bellayma chinesis,Gastropod,NA,NA,0.98,A10,-28.383739749998437,386.9387039070218,8.117991505309742,81.77954470148318,NA,NA,Bellayma chinesis
Cottage_2009,Cottage,2009,CTG10 B,Bellayma chinesis,Gastropod,NA,NA,1.2689999999999999,A11,-25.42638912750795,420.61851682585836,8.38020260105952,89.16057776485997,NA,NA,Bellayma chinesis
Cottage_2009,Cottage,2009,CTG10 D,Bellayma chinesis,Gastropod,NA,NA,1.018,B1,-26.153265513780678,669.2265598412625,8.115232187380332,153.68124569441287,NA,NA,Bellayma chinesis
Cottage_2009,Cottage,2009,CTG12,Helosoma,Gastropod,NA,NA,0.92300000000000004,B3,-30.314929945796244,427.3394561479753,8.124261486207336,106.12598091606105,NA,NA,Helosoma
Cottage_2009,Cottage,2009,CTG11,Physidae,Gastropod,NA,NA,0.87,B2,-23.703971257027387,398.1792186407547,9.66599070442354,84.05252249758986,NA,NA,Physidae
Cottage_2009,Cottage,2009,CTG9,Detritus,Terrestrial plant,NA,NA,2.0310000000000001,A9,-24.10787983180898,769.0936723438061,6.254210034792274,26.716136533586422,NA,NA,Detritus
Desire_2014,Desire,2014,SEA6_14_F04,Macrophyte,Aquatic plant,NA,NA,3.228,NA,-22.951457732468118,NA,3.0917082096962223,NA,NA,NA,Macrophyte
